Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
"InRow Bridge Partition, Data Cable 600 MM",?A?C?A?C?1?0?0?1?0?,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"Rack PDU 2G, Metered, ZeroU, 32A, 230V, (36) C13 & (6) C19",?A?P?8?8?5?3??,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"Rack PDU 2G, Metered, ZeroU, 16A, 230V, (18) C13 & (2) C19, IEC309 Cord",?A?P?8?8?5?8?E?U?3?,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"Data Cable Partition, NetShelter, 600mm Wide",?A?R?8?1?6?2?A?B?L?K,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"Data Cable Partition, NetShelter, 600mm Wide, pass-through",?A?R?8?1?6?3?A?B?L?K,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"Cable Ladder 6"" (15cm) Wide w/Ladder Attachment Kit (AR8166ABLK)",?A?R?8?1?6?4?A?B?L?K,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"Cable Ladder 12"" (30cm) Wide w/Ladder Attachment Kit (AR8166ABLK)",?A?R?8?1?6?5?A?B?L?K,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"Data Cable Partition, NetShelter, 750mm Wide",?A?R?8?1?7?2?B?L?K?,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"Data Cable Partition, NetShelter, 750mm Wide, pass-through",?A?R?8?1?7?3?B?L?K?,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"Cable Partition, 300mm",?A?R?8?1?8?4??,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"Cable Trough, Open Bottom, 600mm",?A?R?8?5?6?0??,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"Cable Trough, 600mm",?A?R?8?5?6?1??,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"Cable Trough, 750mm",?A?R?8?5?7?1??,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"Cable Trough, Open Bottom, 300mm",?A?R?8?5?8?0??,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"APC IT Power Distribution Module 3x1 Pole 3 Wire 16A 3xIEC309 300cm, 360cm, 420cm",?P?D?M?1?3?1?6?I?E?C,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"APC IT Power Distribution Module 3x1 Pole 3 Wire 16A 3xIEC309 300cm, 360cm, 420cm",?P?D?M?1?3?16IEC-3P,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"APC IT Power Distribution Module 3x1 Pole 3 Wire 32A 3xIEC309 300cm, 360cm, 420cm",?P?D?M?1?3?3?2?I?E?C,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"APC Modular Rack-mounted Distribution Panel, 138kVA, 200A, 400V, 18 Pole, 5U",?P?D?P?M?1?3?8?H?-?R,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
APC Modular IT Power Distribution Cable Extender 3 Wire 32A IEC309 120cm,?P?D?X?3?3?2?I?E?C?,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
APC Modular IT Power Distribution Cable Extender 3 Wire 32A IEC309 240cm,?P?D?X?332IEC-240,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
APC Modular IT Power Distribution Cable Extender 3 Wire 32A IEC309 480cm,?P?D?X332IEC-480,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"APC DC Rectifier, 500 Watt, 54VDC, Wide Input, Full Signals, Black- Spare Part",1TWF0500H54B,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"APC CATEGORY 5 UTP 568B PATCH CABLE, GREY, RJ45M/RJ45M",3827GY-10,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"APC CATEGORY 5 UTP 568B PATCH CABLE, GREY, RJ45M/RJ45M",3827GY-100,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"APC CATEGORY 5 UTP 568B PATCH CABLE, GREY, RJ45M/RJ45M",3827GY-15,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"APC CATEGORY 5 UTP 568B PATCH CABLE, GREY, RJ45M/RJ45M",3827GY-20,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"APC CATEGORY 5 UTP 568B PATCH CABLE, GREY, RJ45M/RJ45M",3827GY-25,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"APC CATEGORY 5 UTP 568B PATCH CABLE, GREY, RJ45M/RJ45M",3827GY-30,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"APC CATEGORY 5 UTP 568B PATCH CABLE, GREY, RJ45M/RJ45M",3827GY-35,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"APC CATEGORY 5 UTP 568B PATCH CABLE, GREY, RJ45M/RJ45M",3827GY-40,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"APC CATEGORY 5 UTP 568B PATCH CABLE, GREY, RJ45M/RJ45M",3827GY-5,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"APC CATEGORY 5 UTP 568B PATCH CABLE, GREY, RJ45M/RJ45M",3827GY-50,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"APC RJ45F/RJ45F, WHITE, IN LINE COUPLER, CAT 5, RJ45F/RJ45F",47136WH,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"InRow Bridge Partition, Data Cable 600 MM",ACAC10010,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"6ft (1.828m) Stainless Flex Pipe Kit 1.25"" MPT to 1.5"" NPSM, OFS, Female",ACAC10017,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
InRow OA End Aisle Containment Kit - 42U,ACAC11008,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
Active Flow Controller,ACAC22000,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"Mounting Kit, 1U / Duct - Active Flow Controller",ACAC22001,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
Ceiling Panel Mounting Rail - 1800mm (70.9in),ACDC2000,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
Ceiling Panel Mounting Rail - 600mm (23.6in),ACDC2001,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
Ceiling Panel Mounting Rail - 100mm (3.9in),ACDC2003,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
Aisle Containment Lighting kit (w/ power supply),ACDC2018,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
Aisle Containment Lighting kit (w/o power supply),ACDC2019,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
Ceiling Panel - 900mm (36in) - V0,ACDC2101,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"Adjustable Mounting Support, 152 - 241mm (6 - 9.5in) - V0",ACDC2201,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
Duct Mounting Rail - (Expansion),ACDC2301,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
Aisle Containment Door - Sliding,ACDC2400,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
Door Header - 42U SX,ACDC2401,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"Door Post, 900 - 1200mm (36 - 48in) Aisle Width",ACDC2404,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
Door Lock,ACDC2408,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"Curtain Door Mounting Rail, 900 - 1200mm (36 - 48in) aisle width",ACDC2410,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"Depth Adapter, 1070 to 1200mm, SX42U, 300mm Width",ACDC2550,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"Depth Adapter, 1070 to 1200mm, SX42U to SX48U, 600-750mm Width",ACDC2551,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
APC RACK AIR DISTRIBUTION UNIT 2U 8414 59 80 90,ACF002,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
APC Wiring Closet Ventilation Unit 100-240V 50/60 HZ,ACF301,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
Netshelter SX Roof Fan Tray 208-230 VAC,ACF502,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"InRow RC, 600mm, Chilled Water, 380-415V, 50Hz",ACRC502,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
InRow RP Chilled Water 380-415V 50 Hz,ACRP502,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
APC InRow SC 200-240V 50HZ,ACSC101,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
APC FERRITE FOR 10BT CABLE QTY 10,AP420,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"APC 19"" Rotating Keyboard Drawer Black",AR8127BLK,code128,"APC 1U 19"" BLAC",APC ,Nil,Nil,Nil,,,,,,,,,,,,,,
"Data Cable Partition, NetShelter, 600mm Wide",AR8162ABLK,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"Data Cable Partition, NetShelter, 600mm Wide, pass-through",AR8163ABLK,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"APC DATA CABLE LADDER 6"" (15CM) WIDE",AR8164ABLK,code128,Item,APC ,Nil,Nil,Nil,,,,,,,,,,,,,,
"3U Horizontal Cable Manager, 6"" Finger top and Bottom",AR8605,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
APC BACK UPS ES 550VA,BE550-RS,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
APC Power-Saving Back-UPS ES 8 Outlet 700VA 230V BS 1363,BE700G-UK,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
APC 700VA BACK UPS,BE700-UK,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
APC PASSWORD MANAGER,BIOPOD,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
APC PASSWORD MANAGER,BIOPOD-EC,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"APC Back-UPS 500, 230V, IEC320, without auto shutdown softw	APC Back-UPS 500, 2",BK500CI,code128,Product,Item,Nil,Nil,Nil,,,,,,,,,,,,,,
APC  BACK UPS 650VA,BK650AS,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
APC BACKUP UPS 650VA,BK650-AS,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
APC 650VA UPS,BK650ASS,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
APC 650VA BACK UPS,BK650EI,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
APC  650VA BACK-UP,BK650MI,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
APC 800VA BR BACK UP PRO,BP800SI,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
APC Back-UPS RS 1000VA,BR1000I,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"APC Back-UPS 1100, 230V",BR1100CI,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
APC ESSENTIALS SURGE ARREST 5,BR1200LCDI,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
POWER SAVING VACK-UP RS 1500 230V,BR1500GI,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
APC  1.5VA BACK PRO,BR1500I,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
APC Back-UPS RS 1500VA LCD 230V,BR1500LCDI,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
APC BK R/SXS BP,BR24BP,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
APC NOTEBOKE SURGE PROTECTOR,PNOTEPROC8-EC,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
"APC 19' CHASIS, 1U, 24 CHANNELS FOR REPLACEABLE DATA LINE S	APC 19' CHASIS, 1U,",PPM24,code128,Product,Item,Nil,Nil,Nil,,,,,,,,,,,,,,
APC SMART UPS XL 1400VA RM 3U,SU1400RMXLIB3U,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
APC 2.2KVA SMART UP,SU2200INET,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
APC SMART UPS RM 2U XL24V,SU24R2XLBP,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
APC Smart-UPS 5000VA 230V,SU5000I,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
APC  700VA SMART UPS,SU700INET,code128,Item,APC,Nil,Nil,Nil,,,,,,,,,,,,,,
